CustomerID,Lookalikes
C0001,"[('C0112', 0.8905838613871102), ('C0120', 0.8477969216277529), ('C0091', 0.8474869651911474)]"
C0002,"[('C0134', 0.9689453807735999), ('C0106', 0.923788906331048), ('C0159', 0.9105549358307482)]"
C0003,"[('C0031', 0.9520266703295864), ('C0129', 0.9162033941186725), ('C0195', 0.8681941966816744)]"
C0004,"[('C0113', 0.9422889273085164), ('C0104', 0.888329451195821), ('C0102', 0.8093639500348813)]"
C0005,"[('C0007', 0.9741821894267974), ('C0140', 0.8694284763087199), ('C0186', 0.76497647967571)]"
C0006,"[('C0187', 0.9053629297168087), ('C0171', 0.759819978734035), ('C0126', 0.7381608572429227)]"
C0007,"[('C0005', 0.9741821894267974), ('C0140', 0.8950148539197731), ('C0186', 0.7004451839182612)]"
C0008,"[('C0098', 0.8683048144228704), ('C0194', 0.8599787512785543), ('C0024', 0.8381516912646535)]"
C0009,"[('C0198', 0.8623173814558336), ('C0010', 0.8393022954645294), ('C0062', 0.8053091177944565)]"
C0010,"[('C0061', 0.9287916492055878), ('C0062', 0.8673201645964067), ('C0009', 0.8393022954645294)]"
C0011,"[('C0153', 0.9047556457361448), ('C0171', 0.8692018622317507), ('C0126', 0.8657251321976003)]"
C0012,"[('C0039', 0.8156307382006407), ('C0187', 0.8004034792679441), ('C0163', 0.7447733910538279)]"
C0013,"[('C0087', 0.8311667149726495), ('C0099', 0.7822167260570811), ('C0048', 0.7560483664276398)]"
C0014,"[('C0060', 0.8848313661204753), ('C0151', 0.8095867690098179), ('C0097', 0.785619165488933)]"
C0015,"[('C0131', 0.8391646125231835), ('C0036', 0.8152262181052128), ('C0038', 0.744300336467793)]"
C0016,"[('C0183', 0.9997011017327552), ('C0067', 0.9015045106355516), ('C0072', 0.8743095808737522)]"
C0017,"[('C0075', 0.9347768874258127), ('C0081', 0.8767609513585795), ('C0041', 0.8449262831694708)]"
C0018,"[('C0117', 0.8555123502855443), ('C0050', 0.825288219828143), ('C0035', 0.7862639476021328)]"
C0019,"[('C0121', 0.853142460295156), ('C0070', 0.8025188710272135), ('C0063', 0.7071056023499803)]"
C0020,"[('C0050', 0.8713471336017701), ('C0026', 0.7898774224665057), ('C0035', 0.7795127890926508)]"
